director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
George Nolfi,Anthony Mackie,Nicholas Hoult,Nia Long,the banker,Anthony Mackie Nicholas Hoult Nia Long George Nolfi
Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,the burnt orange heresy,Claes Bang Elizabeth Debicki Mick Jagger Giuseppe Capotondi
Carlo Mirabella-Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,swallow,Haley Bennett Austin Stowell Elizabeth Marvel Carlo Mirabella-Davis
Kelly Reichardt,John Magaro,Orion Hall,René Auberjonois,first cow,John Magaro Orion Hall René Auberjonois Kelly Reichardt
Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,bloodshot,Vin Diesel Eiza González Sam Heughan Dave S. F. Wilson
Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,the hunt,Betty Gilpin Ike Barinholtz Amy Madigan Craig Zobel
Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,i still believe,KJ Apa Britt Robertson Shania Twain Erwin Brothers
Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,lost girls,Amy Ryan Thomasin McKenzie Lola Kirke Liz Garbus
Julia Hart,Grace VanderWaal,Graham Verchere,Giancarlo Esposito,stargirl,Grace VanderWaal Graham Verchere Giancarlo Esposito Julia Hart
Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,the roads not taken,Javier Bardem Elle Fanning Laura Linney Sally Potter
Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,never rarely sometimes always,Sidney Flanigan Talia Ryder Theodore Pellerin Eliza Hittman
Jason Orley,Pete Davidson,Griffin Gluck,Jon Cryer,big time adolescence,Pete Davidson Griffin Gluck Jon Cryer Jason Orley
Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,lost transmissions,Simon Pegg Juno Temple Alexandra Daddario Katharine O'Brien
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,resistance,Jesse Eisenberg Ed Harris Clémence Poésy Jonathan Jakubowicz
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,uncorked,Mamoudou Athie Courtney B. Vance Niecy Nash Prentice Penny
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,coffee & kareem,Ed Helms Taraji P. Henson Betty Gilpin Michael Dowse
Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,trolls world tour,Anna Kendrick Justin Timberlake Rachel Bloom Walt Dohrn
Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,love wedding repeat,Olivia Munn Sam Claflin Freida Pinto Dean Craig
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,the main event,Seth Carr Tichina Arnold Ken Marino Jay Karas
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,we summon the darkness,Alexandra Daddario Keean Johnson Logan Miller Marc Meyers
Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,the lost husband,Leslie Bibb Josh Duhamel Nora Dunn Vicky Wight
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,corona zombies,Cody Renee Cameron Russell Coker Robin Sydney Charles Band
Ronn Kilby,Mark Christopher Lawrence,Diane Sargent,Michelle Way,skin: the movie,Mark Christopher Lawrence Diane Sargent Michelle Way Ronn Kilby
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,sergio,Wagner Moura Ana de Armas Garret Dillahunt Greg Barker
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,the willoughbys,Will Forte Maya Rudolph Alessia Cara Kris Pearn
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,extraction,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave
Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,braking for whales,Tom Felton Tammin Sursok Wendi McLendon-Covey Sean McEwen
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,bad education,Hugh Jackman Allison Janney Geraldine Viswanathan Cory Finley
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,dangerous lies,Camila Mendes Jessie T. Usher Jamie Chung Michael Scott
Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,all day and a night,Ashton Sanders Jeffrey Wright Yahya Abdul-Mateen II Joe Robert Cole
The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,the wretched,John-Paul Howard Piper Curda Zarah Mahler The Pierce Brothers
Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,the half of it,Leah Lewis Daniel Diemer Alexxis Lemire Alice Wu
Clark Duke,Liam Hemsworth,Clark Duke,Michael Kenneth Williams,arkansas,Liam Hemsworth Clark Duke Michael Kenneth Williams Clark Duke
Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,valley girl,Jessica Rothe Josh Whitehouse Mae Whitman Rachel Lee Goldenberg
Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,capone,Tom Hardy Linda Cardellini Jack Lowden Josh Trank
Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,the wrong missy,David Spade Lauren Lapkus Geoff Pierson Tyler Spindel
Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,scoob!,Will Forte Mark Wahlberg Jason Isaacs Tony Cervone
Eric Demeusy,Ryan Masson,Highdee Kuan,Christian Prentice,proximity,Ryan Masson Highdee Kuan Christian Prentice Eric Demeusy
John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,blood and money,Tom Berenger Kristen Hager Mark Sivertsen John Barr
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,body cam,Mary J. Blige Nat Wolff David Zayas Malik Vitthal
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,the lovebirds,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,inheritance,Lily Collins Simon Pegg Chace Crawford Vaughn Stein
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,the high note,Dakota Johnson Tracee Ellis Ross Kelvin Harrison Jr. Nisha Ganatra
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,shirley,Elisabeth Moss Michael Stuhlbarg Odessa Young Josephine Decker
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,the last days of american crime,Édgar Ramírez Anna Brewster Michael Pitt Olivier Megaton
"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,becky,"Lulu Wilson Kevin James Joel McHale Jonathan Milott, Cary Murnion"
Sean McNamara,Janel Parrish,Alexa PenaVega,Carlos PenaVega,mighty oak,Janel Parrish Alexa PenaVega Carlos PenaVega Sean McNamara
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,da 5 bloods,Delroy Lindo Jonathan Majors Clarke Peters Spike Lee
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,artemis fowl,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,the king of staten island,Pete Davidson Marisa Tomei Bill Burr Judd Apatow
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,sniper: assassin's end,Chad Michael Collins Tom Berenger Sayaka Akimoto Kaare Andrews
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,wasp network,Penélope Cruz Édgar Ramírez Gael García Bernal Olivier Assayas
Elissa Down,Elissa Down (director); Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,feel the beat,Elissa Down (director); Sofia Carson Enrico Colantoni Wolfgang Novogratz Elissa Down
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,eurovision song contest: the story of fire saga,Will Ferrell Rachel McAdams Dan Stevens David Dobkin
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,irresistible,Steve Carell Chris Cooper Mackenzie Davis Jon Stewart
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,my spy,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal
Daniel Chong,Eric Edelstein,Bobby Moynihan,Demetri Martin,we bare bears: the movie,Eric Edelstein Bobby Moynihan Demetri Martin Daniel Chong
Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,hamilton,Thomas Kail (director); Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Thomas Kail
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,relic,Emily Mortimer Robyn Nevin Bella Heathcote Natalie Erika James
LP,Anna Camp,Robbie Amell,Nasim Pedrad,desperados,Anna Camp Robbie Amell Nasim Pedrad LP
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,the old guard,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood
Andrew Lawrence,Adam Copeland,Kelsey Grammer,Thomas Jane,money plane,Adam Copeland Kelsey Grammer Thomas Jane Andrew Lawrence
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,greyhound,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,palm springs,Andy Samberg Cristin Milioti Peter Gallagher Max Barbakow
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,fatal affair,Nia Long Omar Epps Stephen Bishop Peter Sullivan
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,the silencing,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront
The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,a nice girl like you,Lucy Hale Leonidas Gulaptis Jackie Cruz The Brothers Riedell
Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,ghosts of war,Brenton Thwaites Theo Rossi Skylar Astin Eric Bress
Scott Christian Sava (director/screenplay); Tony Bancroft,John Krasinski,Emily Blunt,Ian McKellen,animal crackers,John Krasinski Emily Blunt Ian McKellen Scott Christian Sava (director/screenplay); Tony Bancroft
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,the kissing booth 2,Joey King Joel Courtney Jacob Elordi Vince Marcello
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,the rental,Dan Stevens Alison Brie Sheila Vand Dave Franco
Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,the secret: dare to dream,Katie Holmes Josh Lucas Jerry O'Connell Andy Tennant
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,summerland,Gemma Arterton Gugu Mbatha-Raw Penelope Wilton Jessica Swale
Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,she dies tomorrow,Kate Lyn Sheil Jane Adams Kentucker Audley Amy Seimetz
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,the tax collector,Bobby Soto Shia LaBeouf Cinthya Carmona David Ayer
Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,waiting for the barbarians,Mark Rylance Johnny Depp Robert Pattinson Ciro Guerra
"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,project power,"Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Henry Joost, Ariel Schulman"
Tim Hill,Tom Kenny,Awkwafina,Matt Berry,the spongebob movie: sponge on the run (canadian theatrical release),Tom Kenny Awkwafina Matt Berry Tim Hill
Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,magic camp,Adam DeVine Gillian Jacobs Jeffrey Tambor Mark Waters
Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,spree,Joe Keery Sasheer Zamata Mischa Barton Eugene Kotlyarenko
Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,the one and only ivan,Sam Rockwell Angelina Jolie Danny DeVito Thea Sharrock
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,unhinged,Russell Crowe Caren Pistorius Gabriel Bateman Derrick Borte
Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,tesla,Ethan Hawke Eve Hewson Ebon Moss-Bachrach Michael Almereyda
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,cut throat city,Shameik Moore T.I. Demetrius Shipp Jr. RZA
Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,words on bathroom walls,Charlie Plummer Andy García Taylor Russell Thor Freudenthal
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,bill & ted face the music,Keanu Reeves Alex Winter Kristen Schaal Dean Parisot
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,the new mutants,Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,the personal history of david copperfield,Dev Patel Aneurin Barnard Peter Capaldi Armando Iannucci
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,i'm thinking of ending things,Jesse Plemons Jessie Buckley Toni Collette Charlie Kaufman
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,phineas and ferb the movie: candace against the universe,Vincent Martella Ashley Tisdale David Errigo Jr. Bob Bowen
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,all together now,Auliʻi Cravalho Rhenzy Feliz Judy Reyes Brett Haley
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,centigrade,Genesis Rodriguez Vincent Piazza Louis Cancelmi Brendan Walsh
Marco Pontecorvo,Joaquim de Almeida,Goran Višnjić,Stephanie Gil,fatima,Joaquim de Almeida Goran Višnjić Stephanie Gil Marco Pontecorvo
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,tenet,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan
Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,mulan,Liu Yifei Donnie Yen Tzi Ma Niki Caro
John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,critical thinking,John Leguizamo Jorge Lendeborg Jr. Angel Bismark Curiel John Leguizamo
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,the owners,Maisie Williams Sylvester McCoy Rita Tushingham Julius Berg
Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,guest house,Pauly Shore Mike Castle Aimee Teegarden Sam Macaroni
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,the babysitter: killer queen,Judah Lewis Emily Alyn Lind Jenna Ortega McG
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,unpregnant,Haley Lu Richardson Barbie Ferreira Alex MacNicoll Rachel Lee Goldenberg
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,the devil all the time,Tom Holland Bill Skarsgård Riley Keough Antonio Campos
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,the broken hearts gallery,Geraldine Viswanathan Dacre Montgomery Utkarsh Ambudkar Natalie Krinsky
Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,i met a girl,Brenton Thwaites Lily Sullivan Joel Jackson Luke Eve
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,rent-a-pal,Wil Wheaton Brian Landis Folkins Kathleen Brady Jon Stevenson
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,the secrets we keep,Noomi Rapace Joel Kinnaman Chris Messina Yuval Adler
"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,antebellum,"Janelle Monáe Eric Lange Jena Malone Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe"
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,the nest,Jude Law Carrie Coon Charlie Shotwell Sean Durkin
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,blackbird,Susan Sarandon Kate Winslet Mia Wasikowska Roger Michell
William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,lost girls & love hotels,Alexandra Daddario Takehiro Hira Carice van Houten William Olsson
Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,killian & the comeback kids,Taylor A. Purdee John Donchak Nathan Purdee Taylor A. Purdee
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,enola holmes,Millie Bobby Brown Henry Cavill Sam Claflin Harry Bradbeer
Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,the trial of the chicago 7,Yahya Abdul-Mateen II Sacha Baron Cohen Danny Flaherty Aaron Sorkin
Tate Taylor,Jessica Chastain,John Malkovich,Common,ava,Jessica Chastain John Malkovich Common Tate Taylor
Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,kajillionaire,Evan Rachel Wood Richard Jenkins Debra Winger Miranda July
Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,the last shift,Richard Jenkins Shane Paul McGhie Da'Vine Joy Randolph Andrew Cohn
Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,secret society of second-born royals,Peyton Elizabeth Lee Skylar Astin Élodie Yung Anna Mastro
Marc Carlini,Tommy Dewey,François Arnaud,Minka Kelly,she's in portland,Tommy Dewey François Arnaud Minka Kelly Marc Carlini
Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,the boys in the band,Jim Parsons Zachary Quinto Matt Bomer Joe Mantello
Julie Taymor,Julianne Moore,Alicia Vikander,Timothy Hutton,the glorias,Julianne Moore Alicia Vikander Timothy Hutton Julie Taymor
Sofia Coppola,Rashida Jones,Bill Murray,Marlon Wayans,on the rocks,Rashida Jones Bill Murray Marlon Wayans Sofia Coppola
Brian Duffield,Katherine Langford,Charlie Plummer,Hayley Law,spontaneous,Katherine Langford Charlie Plummer Hayley Law Brian Duffield
Osmany Rodriguez,Jaden Michael,Gerald W. Jones III,Gregory Diaz IV,vampires vs. the bronx,Jaden Michael Gerald W. Jones III Gregory Diaz IV Osmany Rodriguez
Brandon Cronenberg,Andrea Riseborough,Christopher Abbott,Rossif Sutherland,possessor,Andrea Riseborough Christopher Abbott Rossif Sutherland Brandon Cronenberg
Darren Lynn Bousman,Maggie Q,Alex Essoe,Luke Hemsworth,death of me,Maggie Q Alex Essoe Luke Hemsworth Darren Lynn Bousman
Mike Elliott,Madison Pettis,Lizze Broadway,Piper Curda,american pie presents: girls' rules,Madison Pettis Lizze Broadway Piper Curda Mike Elliott
Veena Sud,Mireille Enos,Peter Sarsgaard,Joey King,the lie,Mireille Enos Peter Sarsgaard Joey King Veena Sud
Steven Brill,Adam Sandler,Kevin James,Julie Bowen,hubie halloween,Adam Sandler Kevin James Julie Bowen Steven Brill
Brannon Braga,Britt Robertson,Anna Friel,Rafi Gavron,books of blood,Britt Robertson Anna Friel Rafi Gavron Brannon Braga
