Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
M A Y,4,Bad Samaritan,Electric Entertainment,"Dean Devlin (director); Brandon Boyce (screenplay); David Tennant, Robert Sheehan, Carlito Olivero, Kerry Condon, Jacqueline Byers",[78],Thriller Crime Horror
M A Y,4,The Cleanse,Vertical Entertainment,"Bobby Miller (director/screenplay); Johnny Galecki, Anna Friel, Oliver Platt, Anjelica Huston, Kyle Gallner, Kevin J. O'Connor, Diana Bang",[79],Drama Comedy Fantasy Horror
M A Y,11,Life of the Party,Warner Bros. Pictures / New Line Cinema,"Ben Falcone (director/screenplay); Melissa McCarthy (screenplay); Melissa McCarthy, Gillian Jacobs, Maya Rudolph, Julie Bowen, Matt Walsh, Molly Gordon, Stephen Root, Jacki Weaver",[80],Comedy
M A Y,11,Breaking In,Universal Pictures,"James McTeigue (director); Ryan Engle (screenplay); Gabrielle Union, Billy Burke, Richard Cabral, Ajiona Alexus, Levi Meaden, Jason Winston George, Seth Carr, Christa Miller",[81],Action Comedy
M A Y,11,The Seagull,Sony Pictures Classics,"Michael Mayer (director); Stephen Karam (screenplay); Annette Bening, Saoirse Ronan, Corey Stoll, Elisabeth Moss, Mare Winningham, Jon Tenney, Glenn Fleshler, Michael Zegen, Billy Howle, Brian Dennehy",[82],Drama Romance Comedy
M A Y,11,Terminal,RLJE Films,"Vaughn Stein (director/screenplay); Margot Robbie, Simon Pegg, Dexter Fletcher, Max Irons, Mike Myers",[83],Crime Drama Thriller
M A Y,18,Deadpool 2,20th Century Fox / Marvel Entertainment / TSG Entertainment,"David Leitch (director); Rhett Reese, Paul Wernick, Ryan Reynolds (screenplay); Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Brianna Hildebrand, Jack Kesy",[84],Action Comedy Adventure
M A Y,18,Book Club,Paramount Pictures,"Bill Holderman (director/screenplay); Erin Simms (screenplay); Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen",[85],Romance Comedy Drama
M A Y,18,First Reformed,A24,"Paul Schrader (director/screenplay); Ethan Hawke, Amanda Seyfried, Cedric the Entertainer",[86],Drama
M A Y,18,Show Dogs,Global Road Entertainment,"Raja Gosnell (director); Max Botkin, Marc Hyman (screenplay); Will Arnett, Ludacris, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Stanley Tucci",[87],Adventure Crime Family Comedy
